dataset,N,M,SNN,MS,HW,ResNet,BN,WN,LN
abalone,4177,9,0.6657,0.6284,0.6427,0.6466,0.6303,0.6351,0.6178
acute-inflammation,120,7,1,1,1,1,1,1,0.9
acute-nephritis,120,7,1,1,1,1,1,1,1
adult,48842,15,0.8476,0.8487,0.8453,0.8484,0.8499,0.8453,0.8517
annealing,898,32,0.76,0.73,0.36,0.26,0.12,0.65,0.5
arrhythmia,452,263,0.6549,0.6372,0.6283,0.646,0.5929,0.6018,0.5752
audiology-std,196,60,0.8,0.68,0.72,0.8,0.64,0.72,0.8
balance-scale,625,5,0.9231,0.9231,0.9103,0.9167,0.9231,0.9551,0.9872
balloons,16,5,1,0.5,0.25,1,1,0,0.75
bank,4521,17,0.8903,0.8876,0.8885,0.8796,0.8823,0.885,0.892
blood,748,5,0.7701,0.7754,0.7968,0.8021,0.7647,0.7594,0.7112
breast-cancer,286,10,0.7183,0.6901,0.7465,0.7465,0.7324,0.6197,0.662
breast-cancer-wisc,699,10,0.9714,0.9714,0.9771,0.9714,0.9829,0.9657,0.9714
breast-cancer-wisc-diag,569,31,0.9789,0.9718,0.9789,0.9507,0.9789,0.9718,0.9648
breast-cancer-wisc-prog,198,34,0.6735,0.7347,0.8367,0.8163,0.7755,0.8367,0.7959
breast-tissue,106,10,0.7308,0.4615,0.6154,0.4231,0.4615,0.5385,0.5769
car,1728,7,0.9838,0.9861,0.956,0.9282,0.9606,0.9769,0.9907
cardiotocography-10clases,2126,22,0.8399,0.8418,0.8456,0.8173,0.791,0.8606,0.8362
cardiotocography-3clases,2126,22,0.9153,0.8964,0.9171,0.9021,0.9096,0.8945,0.9021
chess-krvk,28056,7,0.8805,0.8606,0.5255,0.8543,0.8781,0.7673,0.8938
chess-krvkp,3196,37,0.9912,0.99,0.99,0.9912,0.9862,0.9912,0.9875
congressional-voting,435,17,0.6147,0.6055,0.5872,0.5963,0.5872,0.5872,0.578
conn-bench-sonar-mines-rocks,208,61,0.7885,0.8269,0.8462,0.8077,0.7115,0.8269,0.6731
conn-bench-vowel-deterding,990,12,0.9957,0.9935,0.9784,0.9935,0.961,0.9524,0.9935
connect-4,67557,43,0.8807,0.8831,0.8599,0.8716,0.8729,0.8833,0.8856
contrac,1473,10,0.519,0.5136,0.5054,0.5136,0.4538,0.4755,0.4592
credit-approval,690,16,0.843,0.843,0.8547,0.843,0.8721,0.907,0.8547
cylinder-bands,512,36,0.7266,0.7656,0.7969,0.7734,0.75,0.7578,0.7578
dermatology,366,35,0.9231,0.9121,0.978,0.9231,0.9341,0.9451,0.9451
echocardiogram,131,11,0.8182,0.8485,0.6061,0.8485,0.8485,0.7879,0.8182
ecoli,336,8,0.8929,0.8333,0.869,0.8214,0.8214,0.8452,0.8571
energy-y1,768,9,0.9583,0.9583,0.8802,0.8177,0.8646,0.901,0.9479
energy-y2,768,9,0.9063,0.8958,0.901,0.875,0.875,0.8906,0.8802
fertility,100,10,0.92,0.88,0.88,0.84,0.68,0.68,0.88
flags,194,29,0.4583,0.4583,0.4375,0.375,0.4167,0.4167,0.3542
glass,214,10,0.7358,0.6038,0.6415,0.6415,0.5849,0.6792,0.6981
haberman-survival,306,4,0.7368,0.7237,0.6447,0.6842,0.7368,0.75,0.6842
hayes-roth,160,4,0.6786,0.4643,0.7857,0.7143,0.75,0.5714,0.8929
heart-cleveland,303,14,0.6184,0.6053,0.6316,0.5658,0.5789,0.5658,0.5789
heart-hungarian,294,13,0.7945,0.8356,0.7945,0.8082,0.8493,0.7534,0.8493
heart-switzerland,123,13,0.3548,0.3871,0.5806,0.3226,0.3871,0.2581,0.5161
heart-va,200,13,0.36,0.26,0.4,0.26,0.28,0.22,0.24
hepatitis,155,20,0.7692,0.7692,0.6667,0.7692,0.8718,0.8462,0.7436
hill-valley,1212,101,0.5248,0.5116,0.5,0.5396,0.505,0.4934,0.505
horse-colic,368,26,0.8088,0.8529,0.7794,0.8088,0.8529,0.7059,0.7941
ilpd-indian-liver,583,10,0.6986,0.6644,0.6781,0.6712,0.5959,0.6918,0.6986
image-segmentation,2310,19,0.9114,0.909,0.9024,0.8919,0.8481,0.8938,0.8838
ionosphere,351,34,0.8864,0.9091,0.9432,0.9545,0.9432,0.9318,0.9432
iris,150,5,0.973,0.9189,0.8378,0.973,0.9189,1,0.973
led-display,1000,8,0.764,0.72,0.704,0.716,0.628,0.692,0.648
lenses,24,5,0.6667,1,1,0.6667,0.8333,0.8333,0.6667
